;Anne;Nom du partenaire;Intitul de la demande;Appel  projets;Montant vot par demande;Fonctionnement;Subventions sur projet;Subventions d'quipement;Subventions sans nature spcifie;Siret;CP-Adresse-Libell voie;CP-Adresse-Code postal;CP-Adresse-Ville;Appel  projets PolVille;S-DE-Montant demand;N SIMPA;y
0;2015;CLUB NAUTIQUE DOMREMY 13;ENF (Sauv'nage et Savoir-nager)                                                                                                                                                                                                                                              ,forme et santé (Aquagym),Compétition (stage de printemps 2015);N;7000.0;7000.0;;;;48181448100042;38 RUE DUNOIS;75647.0;PARIS;N;23776.0;19925.0;1
1;2015;Association francilienne de soutien à Alternatiba;Alternatiba Paris - le Villages des Alternatives;O;20000.0;;20000.0;;;80901732000015;1 SENTIER DE LA POINTE;75020.0;PARIS;N;30000.0;183588.0;1
2;2015;ENTR AIDE;"Maire adjoint Monsieur Martin Jean François
Service de sport de proximité
Monsieur Vaslin Cyril";N;1000.0;1000.0;;;;44415455300028;53 RUE DE L'OURCQ;75019.0;PARIS;N;3000.0;24621.0;1
3;2016;Strata'j'm Paris;Investir le quartier Tour du Pin Python Duvernois Fougère;O;1000.0;1000.0;;;;52981968200012;86 RUE DES COURONNES;75020.0;PARIS;N;2000.0;33381.0;0
4;2013;les P'tits Poulbots oeuvre des Gosses de la Butte de Montmartre;Compensation de la charge financière créée par le montant d'un nouveau loyer.;N;3700.0;3700.0;;;;53097360100012;3 PLACE DU TERTRE;75018.0;PARIS;N;4200.0;14665.0;1
5;2013;Association Société littéraire des Goncourt;subvention de fonctionnement pour 2013;N;5000.0;;;;5000.0;42230739700014;16 PLACE GAILLON;75002.0;PARIS;N;5000.0;19856.0;1
6;2013;ASSOCIATION BELLE VILLE (A.B.V.);Espace Public Numérique;N;50000.0;15000.0;35000.0;;;42210748200016;17 RUE JULES ROMAINS;75019.0;PARIS;N;50000.0;19704.0;1
7;2016;Double Face;ATELIER DE PRATIQUE ARTISTIQUE D'été en lien avec Ville imaginaire, avec les adolescents du quartier;O;;;;;;42294518800023;1 AVENUE DU PLEIN MIDI;95140.0;GARGES-LES-GONESSE;N;2000.0;64361.0;0
8;2013;ASFM/YACHAD;FEMME(S) SOUS UN AUTRE JOUR. Fonds du Maire 14e;N;1000.0;1000.0;;;;53044620200018;42 RUE DE L'OUEST;75014.0;PARIS;N;3000.0;39964.0;1
9;2014;Association D'Accompagnement Global contre l'Exclusion;Groupe de parole;O;5000.0;;5000.0;;;51078963900026;17 RUE BERNARD DIMEY;75018.0;PARIS;O;6500.0;8382.0;1
10;2016;LA BOUTIQUE DES FRISSONS;"La Boutique de Frissons 2016
Fonds du Maire
14ème arrondissment";N;2000.0;2000.0;;;;79169759200024;206 QUAI DE VALMY;75010.0;PARIS;N;2000.0;140601.0;0
11;2015;Association des Liaisons;"Label Paris Co-développement Sud 2015 
Sensibilisation et Prévention Socio sanitaire de la Populati";O;;;;;;52274303800013;1 RUE FREDERICK LEMAÎTRE;75020.0;PARIS;N;15000.0;19000.0;0
12;2014;ATHLETIC CLUB PARIS 15;subvention de fonctionnement;N;;;;;;51168229600021;44 BOULEVARD DE GRENELLE;75015.0;PARIS;N;15000.0;440.0;0
13;2013;Une Option de Plus;Financement d'Une Option de Plus : promotion des échanges culturels entre Paris et l'Equateur;N;;;;;;52431558700013;54 RUE JEAN BAPTISTE PIGALLE;75009.0;PARIS;N;5000.0;5841.0;0
14;2014;COMPAGNIE LES TOUPIES;L'Art en Tandem, création partagée réunissant en binômes des artistes professionnels et handicapés;N;3000.0;3000.0;;;;40812471700039;16 RUE EDOUARD ROBERT;75012.0;PARIS;N;5000.0;212.0;1
15;2014;Amicale bouliste des arènes de Lutèce et du V° arrondissement;Fonctionnement de l'amicale;N;1000.0;1000.0;;;;44805875000028;41 RUE MONGE;75005.0;PARIS;N;1500.0;20449.0;1
16;2014;Fédération Nationale des Anciens Combattants en Algérie Maroc et Tunisie Comité de PARIS 11ème;Subvention de fonctionnement au comité FNACA 11ème;N;1200.0;1200.0;;;;50276684300010;5 PASSAGE BULLOURDE;75011.0;PARIS;N;1200.0;16536.0;1
17;2014;Co-développement et Fraternité Europe-Madagascar;"VELOMA
- Vivre en Européen Lié par son Origine Malgache Assumée -";O;;;;;;80096939600012;28 RUE BAYEN;75017.0;PARIS;N;12000.0;66542.0;0
18;2013;Fédération des Association de Solidarité avec Tou-te-s les Immigré-e-s;Manger Bouger Multiculturel;N;4000.0;;4000.0;;;78426339400057;58 RUE DES AMANDIERS;75020.0;PARIS;N;14000.0;18632.0;1
19;2015;ASAR ASSOCIATION SPORTIVE AMICALE RIGONDES;"PROMOUVOIR LE SPORT A PARIS
PRATIQUE DE L EDUCATION PHYSIQUE
LE FOOTBALL";N;500.0;500.0;;;;51756668300010;7 SQUARE LE CHAMPMESLE;75019.0;PARIS;N;900.0;16330.0;1
